,Unnamed: 0,question_and_options,answer,difficulty
80,80,"<div><p>With reference to Foreign Direct Investment in India, which one of the following is considered its major characteristic? </p><p>(a) It is the investment through capital instruments essentially in a listed company. </p><p>(b) It is a largely non-debt creating capital flow. </p><p>(c) It is the investment which involves debt-servicing. </p><p>(d) It is the investment made by foreign institutional investors in the Government Securities.</p></div>",b,Easy
81,81,"<div><p>With reference to the international trade of India at present, which of the following statements is/are correct? </p><p>1. India's merchandise exports are less than its merchandise imports.</p><p>2. India's imports of iron and steel, chemicals, fertilisers and machinery have decreased in recent years.</p><p>3. India's exports of services are more than its imports of services.</p><p>4. India suffers from an overall trade/current account deficit.</p><p>Select the correct answer using the code given below:&nbsp;</p><p>(a) 1 and 2 only </p><p>(b) 2 and 4 only </p><p>(c) 3 only&nbsp;</p><p>(d) 1, 3 and 4 only</p></div>",d,Medium
82,82,"<div><p>The term 'West Texas Intermediate', sometimes found in news, refers to a grade of&nbsp;</p><p>(a) Crude oil </p><p>(b) Bullion</p><p>(c) Rare earth elements </p><p>(d) Uranium</p></div>",a,Easy
83,83,"<div><p>In the context of the Indian economy, non-financial debt includes which of the following? </p><p>1. Housing loans owed by households </p><p>2. Amounts outstanding on credit cards</p><p>3. Treasury bills</p><p>Select the correct answer using the code given below:</p><p>(a) 1 only</p><p>(b) 1 and 2 only</p><p>(c) 3 only</p><p>(d) 1, 2 and 3</p></div>",d,Medium
84,84,"<div><p>In India, why are some nuclear reactors kept under ""IAEA Safeguards"" while others are not?</p><p>(a) Some use uranium and others use thorium</p><p>(b) Some use imported uranium and others use domestic supplies.</p><p>(c) Some are operated by foreign enterprises and others are operated by domestic enterprises</p><p>(d) Some are State-owned and others are privately-owned</p></div>",b,Easy
85,85,"<div><p>With reference to Trade-Related Investment Measures (TRIMS), which of the following statements is/are correct?</p><p>1. Quantitative restrictions on imports by foreign investors are prohibited.</p><p>2. They apply to investment measures related to trade in both goods and services.</p><p>3. They are not concerned with the regulation of foreign investment.</p><p>Select the correct answer using the code given below:</p><p>(a) 1 and 2 only</p><p>(b) 2 only</p><p>(c) 1 and 3 only</p><p>(d) 1, 2 and 3</p></div>",c,Easy
86,86,"<div><p>If the RBI decides to adopt an expansionist monetary policy, which of the following would it not do?</p><p>1. Cut and optimise the Statutory Liquidity Ratio</p><p>2. Increase the Marginal Standing Facility Rate</p><p>3. Cut the Bank Rate and Repo Rate</p><p>Select the correct answer using the code given below:&nbsp;</p><p>(a) 1 and 2 only </p><p>(b) 2 only </p><p>(c) 1 and 3 only </p><p>(d) 1, 2 and 3</p></div>",b,Easy
87,87,"<div><p>With reference to the Indian economy after the 1991 economic liberalization, consider the following statements: </p><p>1. Worker productivity (rs. per worker at 2004-05 prices) increased in urban areas while it decreased in rural areas.</p><p>2. The percentage share of rural areas in the workforce steadily increased.</p><p>3. In rural areas, the growth in non-farm economy increased.</p><p>4. The growth rate in rural employment decreased</p><p>Which of the statements given above is/are correct?</p><p>(a) 1 and 2 only</p><p>(b) 3 and 4 only</p><p>(c) 3 only</p><p>(d) 1, 2 and 4 only</p></div>",b,Difficult
88,88,"<div><p>Consider the following statements: </p><p>1. In terms of short-term credit delivery to the agriculture sector, District Central Cooperative Banks (DCCBs) deliver more credit in comparison to Scheduled Commercial Banks and Regional Rural Banks.</p><p>2. One of the most important functions of DCCBs is to provide funds to the Primary Agriculture Credit Societies.</p><p>Which of the statements given above is/are correct?</p><p>(a) 1 only&nbsp; &nbsp; &nbsp;</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>",b,Medium
89,89,"<div><p>In India, under cyber insurance for individuals, which of the following benefits are generally covered, in addition to payment for the funds and other benefits?</p><p>1. Cost of restoration of the computer system in case of malware disrupting access to one's computer</p><p>2. Cost of a new computer if some miscreant wilfully damages it, if proved so</p><p>3. Cost of hiring a specialized consultant to minimize the loss in case of cyber extortion.</p><p>4. Cost of defence in the Court of Law if any third party files a suit</p><p>Select the correct answer using the code given below:</p><p>(a) 1, 2 and 4 only</p><p>(b) 1, 3 and 4 only</p><p>(c) 2 and 3 only</p><p>(d) 1, 2, 3 and 4</p></div>",b,Difficult
90,90,"<div><p>With reference to the cultural history of India, consider the following pairs:</p><p>1. Parivrajaka Renunciant and Wanderer</p><p>2. Shramana : Priest with a high status</p><p>3. Upasaka : Lay follower of Buddhism</p><p>Which of the pairs given above are correctly matched?</p><p>(a) 1 and 2 only</p><p>(b) 1 and 3 only</p><p>(c) 2 and 3 only</p><p>(d) 1, 2 and 3</p></div>",b,Difficult
91,91,"<div><p>With reference to Indian elephants, consider the following statements:</p><p>1. The leader of an elephant group is a female.</p><p>2. The maximum gestation period can be 22 months.</p><p>3. An elephant can normally go on calving till the age of 40 years only.</p><p>4. Among the States in India, the highest elephant population is in Kerala.</p><p>Which of the statements given above is/are correct?</p><p>(a) 1 and 2 only</p><p>(b) 2 and 4 only</p><p>(c) 3 only</p><p>(d) 1, 3 and 4 only</p></div>",a,Difficult
92,92,"<div><p>Which of the following Protected Areas are located in Cauvery basin?</p><p>1. Nagarhole National park</p><p>2. Papikonda National Park</p><p>3. Sathyamagalam Tiger Reserve</p><p>4. Wayanand Wildlife Sanctuary</p><p>Select the correct answer using the code given below:</p><p>(a) 1 and 2 only</p><p>(b) 3 and 4 only</p><p>(c) 1, 3 and 4 only</p><p>(d) 1, 2, 3 and 4</p></div>",c,Medium
93,93,"<div><p>With reference to India's biodiversity, Ceylon frogmouth, Coppersmith barbet, Gray-chinned minivet and White-throated redstart are</p><p>(a) Birds</p><p>(b) Primates</p><p>(c) Reptiles</p><p>(d) Amphibians</p></div>",a,Easy
94,94,<div><p>Which one of the following protected areas is well-known for the conservation of a sub-species of the Indian swamp deer (Barasingha) that thrives well on hard ground and is exclusively graminivorous?</p><p>(a) Kanha National Park</p><p>(b) Manas National Park</p><p>(c) Mudumalai Wildlife Sanctuary</p><p>(d) Tal Chhapar Wildlife Sanctuary</p></div>,a,Medium
95,95,"<div><p>Steel slag can be the material for which of the following?</p><p>1. Construction of base road</p><p>2. Improvement of agricultural soil</p><p>3. Production of cement</p><p>Select the correct answer using the code given below:&nbsp;</p><p>(a) 1 and 2 only </p><p>(b) 2 and 3 only </p><p>(c) 1 and 3 only </p><p>(d) 1, 2 and 3</p></div>",d,Difficult
96,96,<div><p>Which of the following are the most likely places to find the musk deer in its natural habitat? </p><p>1. Askot Wildlife Sanctuary</p><p>2. Gangotri National Park</p><p>3. Kishanpur Wildlife Sanctuary</p><p>4. Manas National Park</p><p>Select the correct answer using the code given below:</p><p>(a) 1 and 2 only</p><p>(b) 2 and 3 only</p><p>(c) 3 and 4 only</p><p>(d) 1 and 4 only</p></div>,a,Medium
97,97,"<div><p>In rural road construction, the use of which of the following is preferred for ensuring environmental sustainability or to reduce carbon footprint?</p><p>1. Copper slag</p><p>2. Cold mix asphalt technology</p><p>3. Geotextiles</p><p>4. Hot mix asphalt technology</p><p>5. Portland cement</p><p>Select the correct answer using the code given below:&nbsp;</p><p>(a) 1, 2 and 3 only </p><p>(b) 2, 3 and 4 only </p><p>(c) 4 and 5 only </p><p>(d) 1 and 5 only</p></div>",a,Difficult
98,98,"<div><p>Consider the following statements: </p><p>1. Coal ash contains arsenic, lead and mercury.</p><p>2. Coal-fired power plants release sulphur dioxide and oxides of nitrogen into the environment.</p><p>3. High ash content is observed in Indian coal.</p><p>Which of the statements given above is/are correct?&nbsp;</p><p>(a) 1 only </p><p>(b) 2 and 3 only </p><p>(c) 3 only </p><p>(d) 1, 2 and 3</p></div>",d,Easy
99,99,"<div><p>What is the use of biochar in farming? </p><p>1. Biochar can be used as a part of the growing medium in vertical farming. </p><p>2. When biochar is a part of the growing medium, it promotes the growth of nitrogen-fixing microorganisms. </p><p>3. When biochar is a part of the growing medium, it enables the growing medium to retain water for longer time.</p><p>Which of the statements given above is/are correct?&nbsp;</p><p>(a) 1 and 2 only </p><p>(b) 2 only </p><p>(c) 1 and 3 only </p><p>(d) 1, 2 and 3</p></div>",d,Difficult
0,0,"<div><p>Consider the following statements:</p><p>1. The Governor of the Reserve bank of India (RBI) is a appointed by the Central Government.</p><p>2. Certain provisions in the Constitution of India give the Central Government the right to issue directions to the RBI in public interest.</p><p>3. The Governor of the RBI draws his power from the RBI Act.</p><p>Which of the above statements are correct?</p><p>(a) 1 and 2 only</p><p>(b) 2 and 3 only</p><p>(c) 1 and 3 only</p><p>(d) 1, 2 and 3</p></div>",c,Easy
1,1,"<div><p>With reference to casual workers employed in India, consider the following statements:</p><p>1. All casual workers are entitled for Employees Provident Fund coverage.</p><p>2. All casual workers are entitled for regular working hours and overtime payment.</p><p>3. The government can by a notification specify that an establishment or industry shall pay wages only through its bank account.</p><p>Which of the above statements are correct?</p><p>(a) 1 and 2 only</p><p>(b) 2 and 3 only</p><p>(c) 1 and 3 only</p><p>(d) 1, 2 and 3</p></div>",d,Medium
2,2,<div><p>Which among the following steps is most likely to be taken at the time of an economic recession?</p><p>(a) Cut in tax rates accompanied by increase in interest rate</p><p>(b) Increase in expenditure on public projects</p><p>(c) Increase in tax rates accompanied by reduction of interest rate.</p><p>(d) Reduction of expenditure on public projects</p></div>,b,Easy
3,3,"<div><p>Consider the following statements:Other things remaining unchanged, market demand for a good might increase if</p><p>1. price of its substitute increases</p><p>2. price of its complement increases</p><p>3. the good is an inferior good and income of the consumers increases</p><p>4. its price falls</p><p>Which of the above statements are correct?</p><p>(a) 1 and 4 only</p><p>(b) 2, 3 and 4</p><p>(c) 1, 3 and 4</p><p>(d) 1, 2 and 3</p></div>",a,Easy
4,4,"<div><p>With reference to 'Urban Cooperative banks' in India consider the following statements:</p><p>1. They are supervised and regulated by local boards set up by the State Governments.</p><p>2. They can issue equity shares and preference shares.</p><p>3. They were brought under the purview of the Banking Regulation Act, 1949 through an Amendment in 1966.</p><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) 2 and 3 only</p><p>(c) 1 and 3 only</p><p>(d) 1, 2 and 3</p></div>",b,Easy
5,5,"<div><p>Indian Government Bond Yields are influenced by which of the following?</p><p>1. Actions of the United States Federal Reserve</p><p>2. Actions of the Reserve bank of India</p><p>3. Inflation and short-term interest rates</p><p>Select the correct answer using the code given below.</p><p>(a) 1 and 2 only</p><p>(b) 2 only</p><p>(c) 3 only</p><p>(d) 1, 2 and 3</p></div>",d,Easy
6,6,"<div><p>Consider the following:</p><p>1. Foreign currency convertible bonds</p><p>2. Foreign institutional investment with certain conditions</p><p>3. Global depository receipts</p><p>4. Non-resident external deposits</p><p>Which of the above can be included in Foreign Direct Investments?</p><p>(a) 1, 2 and 3</p><p>(b) 3 only</p><p>(c) 2 and 4</p><p>(d) 1 and 4</p></div>",a,Medium
7,7,<div><p>Consider the following statements:</p><p>The effect of devaluation of a currency is that it necessarily</p><p>1. improves the competitiveness of the domestic exports in the foreign markets.</p><p>2. increases the foreign value of domestic currency</p><p>3. improves the trade balance</p><p>Which of the above statements is/are correct?</p><p>(a) 1 only</p><p>(b) 1 and 2</p><p>(c) 3 only</p><p>(d) 2 and 3</p></div>,a,Easy
8,8,"<div><p>Which one of the following effects of creation of black money in India has been the main cause of worry to the Government of India?&nbsp;</p><p>(a) Diversion of resources to the purchase of real estate and investment in luxury housing&nbsp;</p><p>(b) Investment in unproductive activities and purchase of previous stones, jewellery, gold, etc.&nbsp;</p><p>(c) Large donations to political parties and growth of regionalism&nbsp;</p><p>(d) Loss of revenue to the State Exchequer due to tax evasion</p></div>",d,Easy
9,9,<div><p>Which one of the following is likely to be the most inflationary in its effects?&nbsp;</p><p>(a) Repayment of public debt&nbsp;</p><p>(b) Borrowing from the public to finance a budge deficit&nbsp;</p><p>(c) Borrowing from the banks to finance a budge deficit&nbsp;</p><p>(d) Creation of new money to finance a budget deficit&nbsp;</p></div>,d,Easy
10,10,<div><p>The money multiplier in an economy increases with which one of the following?</p><p>(a) Increase in the Cash Reserve Ratio in the banks&nbsp;</p><p>(b) Increase in the Statutory Liquidity Ratio in the banks&nbsp;</p><p>(c) Increase in the banking habit of the people&nbsp;</p><p>(d) Increase in the population of the country&nbsp;</p></div>,c,Easy
11,11,"<div><p>With reference to Indian economy, demand-pull inflation can be caused/increased by which of the following?&nbsp;</p><p>1. Expansionary policies&nbsp;</p><p>2. Fiscal stimulus&nbsp;</p><p>3. Inflation-indexing wages&nbsp;</p><p>4. Higher purchasing power&nbsp;</p><p>5. Rising interest rates&nbsp;</p><p>Select the correct answer using the code given below.</p><p>(a) 1, 2 and 4 only</p><p>(b) 3, 4 and 5 only</p><p>(c) 1, 2, 3 and 5 only</p><p>(d) 1, 2, 3, 4 and 5</p></div>",a,Easy
12,12,"<div><p>With reference to India, consider the following statements:</p><p>1. Retail investors through demat account can invest in 'Treasury Bills' and 'Government of India Debt Bonds' in primary market.</p><p>2. The 'Negotiated Dealing System-Order Matching' is a government securities trading platform of the Reserve Bank of India.</p><p>3. The 'Central Depository Services Ltd' is jointly promoted by the Reserve Bank of India and the Bombay Stock Exchange.</p><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) 1 and 2</p><p>(c) 3 only &nbsp;</p><p>(d) 2 and 3</p></div>",b,Medium
13,13,"<div><p>With reference to 'Water Credit', consider the following statements:</p><p>1. It puts microfinance tools to work in the water and sanitation sector.</p><p>2. It is a global initiative launched under the aegis of the World Health Organization and the World Bank.</p><p>3. It aims to enable the poor people to meet their water need without depending on subsidies.</p><p>Which of the statements given above are correct?</p><p>(a) 1 and 2 only</p><p>(b) 2 and 3 only</p><p>(c) 1 and 3 only</p><p>(d) 1, 2 and 3</p></div>",c,Medium
14,14,"<div><p>In India, the central bank's function as the 'lender of last resort' usually refers to which of the following?&nbsp;</p><p>1. Lending to trade and industry bodies when they fail to borrow from other sources&nbsp;</p><p>2. Providing liquidity to the banks having a temporary crisis&nbsp;</p><p>3. Lending to governments to finance budgetary deficits&nbsp;</p><p>Select the correct answer using the code given below.&nbsp;</p><p>(a) 1 and 2</p><p>(b) 2 only</p><p>(c) 2 and 3</p><p>(d) 3 only</p></div>",b,Easy
15,15,<div><p>R2 Code of Practices' constitutes a tool available for promoting the adoption of&nbsp;</p><p>(a) environmentally responsible practices in electronics recycling industry</p><p>(b) ecological management of 'Wetlands of International Importance' under the Ramsar Convention</p><p>(c) sustainable practices in the cultivation of agricultural crops in degraded lands.</p><p>(d) 'Environmental Impact Assessment' in the exploitation of natural resources</p></div>,a,Difficult
16,16,"<div><p>Why is there a concern about copper smelting plants?&nbsp;</p><p>1. They may release lethal quantities of carbon monoxide into environment.&nbsp;</p><p>2. The copper slag can cause the leaching of some heavy metals into environment.&nbsp;</p><p>3. They may release sulphur dioxide as a pollutant.&nbsp;</p><p>Select the correct answer using the code given below.&nbsp;</p><p>(a) 1 and 2 only</p><p>(b) 2 and 3 only&nbsp;</p><p>(c) 1 and 3 only&nbsp;</p><p>(d) 1, 2 and 3</p></div>",b,Difficult
17,17,"<div><p>With reference to furnace oil, consider the following statements:&nbsp;</p><p>1. It is a product of oil refineries.&nbsp;</p><p>2. Some industries use it to generate power.&nbsp;</p><p>3. Its use causes sulphur emissions into environment.&nbsp;</p><p>Which of the statements given above are correct?</p><p>(a) 1 and 2 only</p><p>(b) 2 and 3 only</p><p>(c) 1 and 3 only</p><p>(d) 1, 2 and 3</p></div>",d,Medium
18,18,<div><p>What is blue carbon?</p><p>(a) Carbon captured by oceans and coastal ecosystems</p><p>(b) Carbon sequestered in forest biomass and agricultural soils</p><p>(c) Carbon contained in petroleum and natural gas</p><p>(d) Carbon present in atmosphere</p></div>,a,Easy
19,19,"<div><p>In the nature, which of the following is/are most likely to be found surviving on a surface without soil?</p><p>1. Fern</p><p>2. Lichen</p><p>3. Moss</p><p>4. Mushroom</p><p>Select the correct answer using the code given below.</p><p>(a) 1 and 4 only</p><p>(b) 2 only</p><p>(c) 2 and 3</p><p>(d) 1, 3 and 4</p></div>",c,Easy
20,20,<div><p>Which one of the following is used in preparing a natural mosquito repellent?</p><p>(a) Congress grass</p><p>(b) Elephant grass</p><p>(c) Lemongrass</p><p>(d) Nut grass</p></div>,c,Easy
21,21,<div><p>Consider the following kinds of organisms:&nbsp;</p><p>1. Copepods&nbsp;</p><p>2. Cyanobacteria&nbsp;</p><p>3. Diatoms&nbsp;</p><p>4. Foraminifera&nbsp;</p><p>Which of the above are primary producers in the food chains of oceans?</p><p>(a) 1 and 2</p><p>(b) 2 and 3</p><p>(c) 3 and 4</p><p>(d) 1 and 4</p></div>,b,Medium
22,22,"<div><p>Consider the following animals:&nbsp;</p><p>1. Hedgehog&nbsp;</p><p>2. marmot&nbsp;</p><p>3. Pangolin&nbsp;</p><p>to reduce the chance of being captured by predators, which of the above organisms rolls up/roll up and protects/protect its/their vulnerable parts?</p><p>(a) 1 and 2</p><p>(b) 2 only</p><p>(c) 3 only</p><p>(d) 1 and 3</p></div>",d,Medium
23,23,"<div><p>With reference to the 'New York Declaration on Forests', which of the following statements are correct?</p><p>1. It was first endorsed at the United Nations Climate Summit in 2014.</p><p>2. It endorses a global timeline to end the loss of forests.</p><p>3. It is a legally binding international declaration.</p><p>4. It is endorsed by governments, big companies and indigenous communities.</p><p>5. India was one of the signatories at its inception.</p><p>Select the correct answer using the code given below.</p><p>(a) 1, 2 and 4</p><p>(b) 1, 3 and 5</p><p>(c) 3 and 4</p><p>(d) 2 and 5</p></div>",a,Difficult
24,24,"<div><p>Magnetite particles, suspected to cause neurodegenerative problems, are generated as environmental pollutants from which of the following?</p><p>1. Brakes of motor vehicles</p><p>2. Engines of motor vehicles</p><p>3. Microwave stoves within homes</p><p>4. Power plants</p><p>5. Telephone lines</p><p>Select the correct answer using the code given below.</p><p>(a) 1, 2, 3 and 5 only</p><p>(b) 1, 2 and 4 only</p><p>(c) 3, 4 and 5 only</p><p>(d) 1, 2, 3, 4 and 5</p></div>",d,Difficult
25,25,<div><p>Which one of the following is a filter feeder?</p><p>(a) Catfish</p><p>(b) Octopus</p><p>(c) Oyster</p><p>(d) Pelican</p></div>,c,Medium
26,26,"<div><p>In case of which one of the following biogeochemical cycles, the weathering of rocks is the main source of release of nutrient to enter the cycle?</p><p>(a) Carbon cycle</p><p>(b) Nitrogen cycle</p><p>(c) Phosphorus cycle</p><p>(d) Sulphur cycle</p></div>",c,Easy
27,27,"<div><p>Which of the following are detritivores?</p><p>1. Earthworms</p><p>2. Jellyfish</p><p>3. Millipedes</p><p>4. Seahorses</p><p>5. Woodlice</p><p>Select the correct answer using the code given below.</p><p>(a) 1, 2 and 4 only</p><p>(b) 2, 3, 4 and 5 only</p><p>(c) 1, 3 and 5 only</p><p>(d) 1, 2, 3, 4 and 5</p></div>",c,Medium
28,28,"<div><p>The 'Common Carbon Metric', supported by UNEP, has been developed for&nbsp;</p><p>(a) assessing the carbon footprint of building operations around the world&nbsp;</p><p>(b) enabling commercial farming entities around the world to enter carbon emission trading&nbsp;</p><p>(c) enabling governments to assess the overall carbon footprint caused by their countries&nbsp;</p><p>(d) assessing the overall carbon foot-print caused by the use of fossil fuels by the world in a unit time</p></div>",a,Difficult
29,29,"<div><p>Which of the following have species that can establish symbiotic relationship with other organisms?&nbsp;</p><p>1. Cnidarians&nbsp;</p><p>2. Fungi&nbsp;</p><p>3. Protozoa&nbsp;</p><p>Select the correct answer using the code given below.&nbsp;</p><p>(a) 1 and 2 only&nbsp;</p><p>(b) 2 and 3 only&nbsp;</p><p>(c) 1 and 3 only&nbsp;</p><p>(d) 1, 2 and 3&nbsp;</p></div>",d,Difficult
30,30,"<div><p>With reference to Chausath Yogini Temple situated near Morena, consider the following statements:&nbsp;</p><p>1. It is a circular temple built during the reign of Kachchhapaghata Dynasty.&nbsp;</p><p>2. It is the only circular temple built in India.&nbsp;</p><p>3. It was meant to promote the Vaishnava cult in the region.&nbsp;</p><p>4. Its design has given rise to a popular belief that it was the inspiration behind the Indian Parliament building.&nbsp;</p><p>Which of the statements given above are correct?&nbsp;</p><p>(a) 1 and 2 only</p><p>(b) 2 and 3 only</p><p>(c) 1 and 4</p><p>(d) 2, 3 and 4&nbsp;</p></div>",c,Medium
31,31,<div><p>Which one of the following ancient towns is well-known for its elaborate system of water harvesting and management by building a series of dams and channelizing water into connected reservoirs?</p><p>(a) Dholavira</p><p>(b) Kalibangan</p><p>(c) Rakhigarhi</p><p>(d) Ropar</p></div>,a,Easy
32,32,"<div><p>In the first quarter of seventeenth century, in which of the following was/were the factory/factories of the English East India Company located?&nbsp;</p><p>1. Broach&nbsp;</p><p>2. Chicacole&nbsp;</p><p>3. Trichinopoly&nbsp;</p><p>Select the correct answer using the code given below.&nbsp;</p><p>(a) 1 only&nbsp;</p><p>(b) 1 and 2&nbsp;</p><p>(c) 3 only&nbsp;</p><p>(d) 2 and 3&nbsp;</p></div>",a,Medium
33,33,"<div><p>From the decline of Guptas until the rise of Harshavardhana in the early seventh century, which of the following kingdoms were holding power in Northern India?</p><p>1. The Guptas of Magadha</p><p>2. The Paramaras of Malwa</p><p>3. The Pushyabhutis of Thanesar</p><p>4. The Maukharis of Kanauj</p><p>5. The Yadavas of Devagiri</p><p>6. The Maitrakas of Valabhi&nbsp;</p><p>Select the correct answer using the code given below.</p><p>(a) 1, 2 and 5</p><p>(b) 1, 3, 4 and 6</p><p>(c) 2, 3 and 4 </p><p>(d) 5 and 6</p></div>",b,Medium
34,34,"<div><p>According to Portuguese writer Nuniz, the women in Vijayanagara Empire were expert in which of the following areas?&nbsp;</p><p>1. Wrestling&nbsp;</p><p>2. Astrology&nbsp;</p><p>3. Accounting&nbsp;</p><p>4. Soothsaying&nbsp;</p><p>Select the correct answer using the code given below.&nbsp;</p><p>(a) 1, 2 and 3 only&nbsp;</p><p>(b) 1, 3 and 4 only&nbsp;</p><p>(c) 2 and 4 only&nbsp;</p><p>(d) 1, 2, 3 and 4&nbsp;</p></div>",d,Difficult
35,35,"<div><p>With reference to Madanapalle of Andhra Pradesh, which one of the following statements is correct?&nbsp;</p><p>(a) Pingali Venkayya designed the tricolour Indian National Flag here.&nbsp;</p><p>(b) Pattabhi Sitaramaiah led the Quit India Movement of Andhra region from here.&nbsp;</p><p>(c) Rabindranath Tagore translated the National Anthem from Bengali to English here.&nbsp;</p><p>(d) Madame Blavatsky and Colonel Olcott set up headquarters of Theosophical Society first here.&nbsp;</p></div>",c,Difficult
36,36,<div><p>Consider the following pairs:</p><p><strong>Historical place &nbsp;:</strong> &nbsp;<strong>Well-known for</strong></p><p>1. Burzahom : Rock-cut shrines</p><p>2. Chandra-ketugarh : Terracotta art</p><p>3.Ganeshwar : Copper artefacts</p><p>Which of the pairs given above is/are correctly matched?</p><p>(a) 1 only</p><p>(b) 1 and 2</p><p>(c) 3 only</p><p>(d) 2 and 3</p></div>,d,Difficult
37,37,<div><p>Consider the following statements :</p><p>1. It was during the reign of Iltutmish that Chengiz Khan reached the Indus in pursuit of the fugitive Khwarezm prince.</p><p>2. It was during the reign of Muhammad bin Tughluq that Taimur occupied Multan and crossed the Indus.</p><p>3. It was during the reign of Deva Raya II of Vijayanagara Empire that Vasco da Gama reached the coast of Kerala.</p><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) 1 and 2</p><p>(c) 3 only</p><p>(d) 2 and 3 </p></div>,a,Difficult
38,38,"<div><p>Consider the following statements&nbsp;</p><p>1. St. Francis Xavier was one of the founding members of the Jesuit Order.&nbsp;</p><p>2. St. Francis Xavier died in Goa and a church is dedicated to him there.&nbsp;</p><p>3. The Feast of St. Francis Xavier is celebrated in Goa each year.&nbsp;</p><p>Which of the statements given above are correct?&nbsp;</p><p>(a) 1 and 2 only&nbsp;</p><p>(b) 2 and 3 only&nbsp;</p><p>(c) 1 and 3 only&nbsp;</p><p>(d) 1, 2 and 3&nbsp;</p></div>",c,Difficult
39,39,"<div><p>With reference to the history of ancient India, which of the following statements is/are correct?</p><p>1. Mitakshara was the civil law for upper castes and Dayabhaga was the civil law for lower castes.</p><p>2. In the Mitakshara system, the sons can claim right to the property during the lifetime of the father, whereas in the Dayabhaga system, it is only after the death of the father that the sons can claim right to the property.</p><p>3. The Mitakshara system deals with the matters related to the property held by male members only of a family, whereas the Dayabhaga system deals with the matters related to the property held by both male and female members of a family.</p><p>Select the correct answer using the code given below.</p><p>(a) 1 and 2</p><p>(b) 2 only</p><p>(c) 1 and 3</p><p>(d) 3 only</p></div>",b,Difficult
40,40,"<div><p>With reference to the history of ancient India, Bhavabhuti, Hastimalla and Kshemeshvara were famous&nbsp;</p><p>(a) Jain monks&nbsp;</p><p>(b) playwrights&nbsp;</p><p>(c) temple architects&nbsp;</p><p>(d) philosophers&nbsp;</p></div>",b,Difficult
41,41,<div><p>Consider the following statements :</p><p>1. The Montagu-Chelmsford Reforms of 1919 recommended granting voting rights to all the women above the age of 21.</p><p>2. The Government of India Act of 1935 gave women reserved seats in legislature.</p><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>,b,Medium
42,42,"<div><p>With reference to 8th August, 1942 in Indian history, which one of the following statements is correct?&nbsp;</p><p>(a) The Quit India Resolution was adopted by the AICC.&nbsp;</p><p>(b) The Viceroy's Executive Council was expanded to include more Indians.&nbsp;</p><p>(c) The Congress ministries resigned in seven provinces.&nbsp;</p><p>(d) Cripps proposed an Indian Union with full Dominion Status once the Second World War was over.</p></div>",a,Easy
43,43,"<div><p>Who among the following is associated with 'Song from Prison', a translation of ancient Indian religious lyrics in English?&nbsp;</p><p>(a) Bal Gangadhar Tilak</p><p>(b) Jawaharlal Nehru</p><p>(c) Mohandas Karamchand Gandhi</p><p>(d) Sarojini Naidu</p></div>",c,Difficult
44,44,"<div><p>With reference to medieval India, which one of the following is the correct sequence in ascending order in terms of size?</p><p>(a) Paragana—Sarkar—Suba&nbsp;</p><p>(b) Sarkar—Paragana—Suba&nbsp;</p><p>(c) Suba—Sarkar—Paragana&nbsp;</p><p>(d) Paragana—Suba—Sarkar&nbsp;</p></div>",a,Medium
45,45,<div><p>Who among the following was associated as Secretary with Hindu Female School which later came to be known as Bethune Female School?&nbsp;</p><p>(a) Annie Besant&nbsp;</p><p>(b) Debendranath Tagore&nbsp;</p><p>(c) Ishwar Chandra Vidyasagar&nbsp;</p><p>(d) Sarojini Naidu&nbsp;</p></div>,c,Easy
46,46,"<div><p>In the context of Colonial India, Shah Nawaz Khan, Prem Kumar Sehgal and Gurbaksh Singh Dhillon are remembered as&nbsp;</p><p>(a) leaders of Swadeshi and Boycott Movement&nbsp;</p><p>(b) members of the Interim Government in 1946&nbsp;</p><p>(c) members of the Drafting Committee in the Constituent Assembly&nbsp;</p><p>(d) officers of the Indian National Army&nbsp;</p></div>",d,Easy
47,47,"<div><p>With reference to Indian history, which of the following statements is/are correct?</p><p>1. The Nizamat of Arcot emerged out of Hyderabad State.</p><p>2. The Mysore Kingdom emerged out of Vijayanagara Empire.</p><p>3. Rohilkhand Kingdom was formed out of the territories occupied by Ahmad Shah Durrani.</p><p>Select the correct answer using the code given below.</p><p>(a) 1 and 2</p><p>(b) 2 only</p><p>(c) 2 and 3</p><p>(d) 3 only</p></div>",b,Difficult
48,48,<div><p>Which one of the following statements is correct?&nbsp;</p><p>(a) Ajanta Caves lie in the gorge of Waghora river.&nbsp;</p><p>(b) Sanchi Stupa lies in the gorge of Chambal river.&nbsp;</p><p>(c) Pandu-lena Cave Shrines lie in the gorge of Narmada river.&nbsp;</p><p>(d) Amaravati Stupa lies in the gorge of Godavari river.&nbsp;</p></div>,a,Difficult
